Epoch Number 169 - Training Accuracy: 93.20833333333334 | Validation Error: 93.475 | Generalization Accuracy: 92.975
Epoch Number 170 - Training Accuracy: 93.23333333333333 | Validation Error: 93.5 | Generalization Accuracy: 93.025
Epoch Number 171 - Training Accuracy: 93.26666666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.025
Epoch Number 172 - Training Accuracy: 93.34166666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.05
Epoch Number 173 - Training Accuracy: 93.25 | Validation Error: 93.45 | Generalization Accuracy: 93.025
Epoch Number 174 - Training Accuracy: 93.40833333333333 | Validation Error: 93.65 | Generalization Accuracy: 92.925
Epoch Number 175 - Training Accuracy: 93.25 | Validation Error: 93.55 | Generalization Accuracy: 93.075
Epoch Number 176 - Training Accuracy: 93.34166666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.05
Epoch Number 177 - Training Accuracy: 93.30833333333334 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.10000000000001
Epoch Number 178 - Training Accuracy: 93.24166666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 92.95
Epoch Number 179 - Training Accuracy: 93.22500000000001 | Validation Error: 93.75 | Generalization Accuracy: 93.0
Epoch Number 180 - Training Accuracy: 93.31666666666666 | Validation Error: 93.75 | Generalization Accuracy: 93.0
Epoch Number 181 - Training Accuracy: 93.30833333333334 | Validation Error: 93.8 | Generalization Accuracy: 93.025
Epoch Number 182 - Training Accuracy: 93.30833333333334 | Validation Error: 93.65 | Generalization Accuracy: 92.925
Epoch Number 183 - Training Accuracy: 93.35833333333333 | Validation Error: 93.7 | Generalization Accuracy: 92.875
Epoch Number 184 - Training Accuracy: 93.35833333333333 | Validation Error: 93.7 | Generalization Accuracy: 93.125
Epoch Number 185 - Training Accuracy: 93.375 | Validation Error: 93.7 | Generalization Accuracy: 92.925
Epoch Number 186 - Training Accuracy: 93.25833333333333 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.05
Epoch Number 187 - Training Accuracy: 93.39166666666667 | Validation Error: 93.625 | Generalization Accuracy: 92.95
Epoch Number 188 - Training Accuracy: 93.44166666666666 | Validation Error: 93.675 | Generalization Accuracy: 93.10000000000001
Epoch Number 189 - Training Accuracy: 93.35 | Validation Error: 93.75 | Generalization Accuracy: 92.925
Epoch Number 190 - Training Accuracy: 93.31666666666666 | Validation Error: 93.65 | Generalization Accuracy: 93.2
Epoch Number 191 - Training Accuracy: 93.45 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.2
Epoch Number 192 - Training Accuracy: 93.5 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.15
Epoch Number 193 - Training Accuracy: 93.36666666666666 | Validation Error: 93.675 | Generalization Accuracy: 93.2
Epoch Number 194 - Training Accuracy: 93.36666666666666 | Validation Error: 93.75 | Generalization Accuracy: 93.4
Epoch Number 195 - Training Accuracy: 93.41666666666667 | Validation Error: 93.85 | Generalization Accuracy: 92.95
Epoch Number 196 - Training Accuracy: 93.48333333333333 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.05
Epoch Number 197 - Training Accuracy: 93.525 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.125
Epoch Number 198 - Training Accuracy: 93.40833333333333 | Validation Error: 93.65 | Generalization Accuracy: 93.30000000000001
Epoch Number 199 - Training Accuracy: 93.45833333333333 | Validation Error: 93.8 | Generalization Accuracy: 92.975
Epoch Number 200 - Training Accuracy: 93.35833333333333 | Validation Error: 93.75 | Generalization Accuracy: 93.45
Epoch Number 201 - Training Accuracy: 93.56666666666666 | Validation Error: 93.95 | Generalization Accuracy: 92.975
Epoch Number 202 - Training Accuracy: 93.56666666666666 | Validation Error: 94.0 | Generalization Accuracy: 93.15
Epoch Number 203 - Training Accuracy: 93.46666666666667 | Validation Error: 93.8 | Generalization Accuracy: 93.45
Epoch Number 204 - Training Accuracy: 93.65 | Validation Error: 93.825 | Generalization Accuracy: 93.27499999999999
Epoch Number 205 - Training Accuracy: 93.575 | Validation Error: 93.65 | Generalization Accuracy: 93.5
Epoch Number 206 - Training Accuracy: 93.525 | Validation Error: 93.625 | Generalization Accuracy: 93.30000000000001
Epoch Number 207 - Training Accuracy: 93.5 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.45
Epoch Number 208 - Training Accuracy: 93.525 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.35
Epoch Number 209 - Training Accuracy: 93.53333333333333 | Validation Error: 93.7 | Generalization Accuracy: 93.525
Epoch Number 210 - Training Accuracy: 93.64166666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.375
Epoch Number 211 - Training Accuracy: 93.675 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.45
Epoch Number 212 - Training Accuracy: 93.44166666666666 | Validation Error: 93.575 | Generalization Accuracy: 93.175
Epoch Number 213 - Training Accuracy: 93.60833333333333 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.30000000000001
Epoch Number 214 - Training Accuracy: 93.68333333333332 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.27499999999999
Epoch Number 215 - Training Accuracy: 93.68333333333332 | Validation Error: 93.325 | Generalization Accuracy: 92.925
Epoch Number 216 - Training Accuracy: 93.70833333333334 | Validation Error: 93.425 | Generalization Accuracy: 93.10000000000001
Epoch Number 217 - Training Accuracy: 93.55833333333334 | Validation Error: 93.475 | Generalization Accuracy: 93.15
Epoch Number 218 - Training Accuracy: 93.55833333333334 | Validation Error: 93.425 | Generalization Accuracy: 93.10000000000001
Epoch Number 219 - Training Accuracy: 93.54166666666667 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.35
Epoch Number 220 - Training Accuracy: 93.72500000000001 | Validation Error: 93.875 | Generalization Accuracy: 93.5
Epoch Number 221 - Training Accuracy: 93.74166666666667 | Validation Error: 93.8 | Generalization Accuracy: 93.5
Epoch Number 222 - Training Accuracy: 93.72500000000001 | Validation Error: 93.825 | Generalization Accuracy: 93.45
Epoch Number 223 - Training Accuracy: 93.60833333333333 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.35
Epoch Number 224 - Training Accuracy: 93.53333333333333 | Validation Error: 93.475 | Generalization Accuracy: 93.25
Epoch Number 225 - Training Accuracy: 93.71666666666667 | Validation Error: 93.75 | Generalization Accuracy: 93.425
Epoch Number 226 - Training Accuracy: 93.64166666666667 | Validation Error: 93.95 | Generalization Accuracy: 93.35
Epoch Number 227 - Training Accuracy: 93.66666666666667 | Validation Error: 93.8 | Generalization Accuracy: 93.325
Epoch Number 228 - Training Accuracy: 93.74166666666667 | Validation Error: 93.95 | Generalization Accuracy: 93.375
Epoch Number 229 - Training Accuracy: 93.79166666666666 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.45
Epoch Number 230 - Training Accuracy: 93.61666666666667 | Validation Error: 94.0 | Generalization Accuracy: 93.45
Epoch Number 231 - Training Accuracy: 93.675 | Validation Error: 93.975 | Generalization Accuracy: 93.325
Epoch Number 232 - Training Accuracy: 93.80833333333334 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.325
Epoch Number 233 - Training Accuracy: 93.75833333333333 | Validation Error: 94.0 | Generalization Accuracy: 93.375
Epoch Number 234 - Training Accuracy: 93.74166666666667 | Validation Error: 93.95 | Generalization Accuracy: 93.375
Epoch Number 235 - Training Accuracy: 93.77499999999999 | Validation Error: 93.85 | Generalization Accuracy: 93.35
Epoch Number 236 - Training Accuracy: 93.76666666666667 | Validation Error: 93.7 | Generalization Accuracy: 93.15
Epoch Number 237 - Training Accuracy: 93.89166666666667 | Validation Error: 93.85 | Generalization Accuracy: 93.27499999999999
Epoch Number 238 - Training Accuracy: 93.89166666666667 | Validation Error: 93.89999999999999 | Generalization Accuracy: 93.375
Epoch Number 239 - Training Accuracy: 93.88333333333333 | Validation Error: 93.95 | Generalization Accuracy: 93.425
Epoch Number 240 - Training Accuracy: 93.73333333333333 | Validation Error: 93.8 | Generalization Accuracy: 93.22500000000001
Epoch Number 241 - Training Accuracy: 93.91666666666667 | Validation Error: 93.925 | Generalization Accuracy: 93.45
Epoch Number 242 - Training Accuracy: 93.89999999999999 | Validation Error: 93.625 | Generalization Accuracy: 93.25
Epoch Number 243 - Training Accuracy: 93.80833333333334 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.30000000000001
Epoch Number 244 - Training Accuracy: 93.76666666666667 | Validation Error: 93.72500000000001 | Generalization Accuracy: 93.025
Epoch Number 245 - Training Accuracy: 93.94166666666666 | Validation Error: 93.4 | Generalization Accuracy: 93.2
Epoch Number 246 - Training Accuracy: 93.94166666666666 | Validation Error: 93.45 | Generalization Accuracy: 93.35
Epoch Number 247 - Training Accuracy: 93.84166666666667 | Validation Error: 93.77499999999999 | Generalization Accuracy: 93.45
Epoch Number 248 - Training Accuracy: 93.91666666666667 | Validation Error: 93.60000000000001 | Generalization Accuracy: 93.525
Epoch Number 249 - Training Accuracy: 93.77499999999999 | Validation Error: 93.575 | Generalization Accuracy: 93.2
Epoch Number 250 - Training Accuracy: 93.98333333333333 | Validation Error: 93.575 | Generalization Accuracy: 93.325
Epoch Number 251 - Training Accuracy: 93.925 | Validation Error: 93.175 | Generalization Accuracy: 92.675
